"filename", "language", "JavaScript JSX", "JavaScript", "JSON", "PostCSS", "XML", "TypeScript", "TypeScript JSX", "JSON with Comments", "Markdown", "pip requirements", "HTML", "Python", "Database", "comment", "blank", "total"
"f:\Aero\AEROPS\Backend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 7, 36
"f:\Aero\AEROPS\Backend\aerops.db", "Database", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 488, 0, 4, 492
"f:\Aero\AEROPS\Backend\app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Aero\AEROPS\Backend\app\db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 6, 17
"f:\Aero\AEROPS\Backend\app\dependencies\db.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 11
"f:\Aero\AEROPS\Backend\app\main.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 9, 44
"f:\Aero\AEROPS\Backend\app\models\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Aero\AEROPS\Backend\app\models\access_code.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 4, 10
"f:\Aero\AEROPS\Backend\app\models\aircraft.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 21, 66
"f:\Aero\AEROPS\Backend\app\models\engineer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 13, 45
"f:\Aero\AEROPS\Backend\app\models\pilot.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 37, 159
"f:\Aero\AEROPS\Backend\app\models\simulation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 10, 28
"f:\Aero\AEROPS\Backend\app\models\training.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 5, 18
"f:\Aero\AEROPS\Backend\app\routes\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\Aero\AEROPS\Backend\app\routes\access_code.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 10, 47
"f:\Aero\AEROPS\Backend\app\routes\add.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 5, 22
"f:\Aero\AEROPS\Backend\app\routes\aircraft.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 24, 129
"f:\Aero\AEROPS\Backend\app\routes\engineers.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 28, 190
"f:\Aero\AEROPS\Backend\app\routes\pilots.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263, 0, 0, 21, 284
"f:\Aero\AEROPS\Backend\app\routes\simulation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 278, 0, 0, 68, 346
