Date : 2026-03-28 21:52:26
Directory : f:\Aero\AEROPS
Total : 148 files,  21353 codes, 38 comments, 2244 blanks, all 23635 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         12 |      9,439 |          2 |         13 |      9,454 |
| TypeScript JSX     |         72 |      6,120 |         21 |        803 |      6,944 |
| Python             |         28 |      1,758 |          0 |        405 |      2,163 |
| JavaScript JSX     |          6 |      1,070 |          0 |        131 |      1,201 |
| JSON with Comments |          2 |        691 |          0 |        579 |      1,270 |
| JavaScript         |          3 |        638 |          0 |        121 |        759 |
| TypeScript         |         13 |        534 |         12 |         74 |        620 |
| PostCSS            |          4 |        517 |          1 |         98 |        616 |
| Database           |          1 |        488 |          0 |          4 |        492 |
| XML                |          3 |         42 |          0 |          2 |         44 |
| Markdown           |          2 |         31 |          0 |          9 |         40 |
| HTML               |          1 |         21 |          2 |          4 |         27 |
| pip requirements   |          1 |          4 |          0 |          1 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                          | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                             |        148 |     21,353 |         38 |      2,244 |     23,635 |
| Backend                                                       |         31 |      2,279 |          0 |        417 |      2,696 |
| Backend (Files)                                               |          3 |        521 |          0 |         12 |        533 |
| Backend\app                                                   |         28 |      1,758 |          0 |        405 |      2,163 |
| Backend\app (Files)                                           |          4 |        242 |          0 |         26 |        268 |
| Backend\app\dependencies                                      |          1 |          8 |          0 |          3 |         11 |
| Backend\app\models                                            |          7 |        236 |          0 |         91 |        327 |
| Backend\app\routes                                            |          8 |        996 |          0 |        183 |      1,179 |
| Backend\app\schemas                                           |          8 |        276 |          0 |        102 |        378 |
| Frontend                                                      |        102 |     16,821 |         38 |      1,500 |     18,359 |
| Frontend (Files)                                              |         16 |      9,932 |         13 |        603 |     10,548 |
| Frontend\public                                               |          4 |        253 |          0 |          4 |        257 |
| Frontend\public (Files)                                       |          1 |         40 |          0 |          1 |         41 |
| Frontend\public\mock                                          |          3 |        213 |          0 |          3 |        216 |
| Frontend\src                                                  |         82 |      6,636 |         25 |        893 |      7,554 |
| Frontend\src (Files)                                          |          5 |        176 |          2 |         33 |        211 |
| Frontend\src\components                                       |         55 |      3,736 |         15 |        551 |      4,302 |
| Frontend\src\components (Files)                               |          6 |        255 |          1 |         43 |        299 |
| Frontend\src\components\ui                                    |         49 |      3,481 |         14 |        508 |      4,003 |
| Frontend\src\hooks                                            |          2 |        169 |          2 |         36 |        207 |
| Frontend\src\lib                                              |          2 |        211 |          0 |         23 |        234 |
| Frontend\src\pages                                            |         15 |      2,312 |          6 |        242 |      2,560 |
| Frontend\src\test                                             |          2 |         20 |          0 |          4 |         24 |
| Frontend\src\types                                            |          1 |         12 |          0 |          4 |         16 |
| sim_logic                                                     |         15 |      2,253 |          0 |        327 |      2,580 |
| sim_logic (Files)                                             |          4 |        901 |          0 |        150 |      1,051 |
| sim_logic\assets                                              |          2 |          2 |          0 |          1 |          3 |
| sim_logic\components                                          |          4 |        569 |          0 |         54 |        623 |
| sim_logic\data                                                |          4 |        174 |          0 |          4 |        178 |
| sim_logic\utils                                               |          1 |        607 |          0 |        118 |        725 |
+---------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                      | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\Aero\AEROPS\Backend\README.md                              | Markdown           |         29 |          0 |          7 |         36 |
| f:\Aero\AEROPS\Backend\aerops.db                              | Database           |        488 |          0 |          4 |        492 |
| f:\Aero\AEROPS\Backend\app\__init__.py                        | Python             |          0 |          0 |          1 |          1 |
| f:\Aero\AEROPS\Backend\app\db.py                              | Python             |         11 |          0 |          6 |         17 |
| f:\Aero\AEROPS\Backend\app\dependencies\db.py                 | Python             |          8 |          0 |          3 |         11 |
| f:\Aero\AEROPS\Backend\app\main.py                            | Python             |         35 |          0 |          9 |         44 |
| f:\Aero\AEROPS\Backend\app\models\__init__.py                 | Python             |          0 |          0 |          1 |          1 |
| f:\Aero\AEROPS\Backend\app\models\access_code.py              | Python             |          6 |          0 |          4 |         10 |
| f:\Aero\AEROPS\Backend\app\models\aircraft.py                 | Python             |         45 |          0 |         21 |         66 |
| f:\Aero\AEROPS\Backend\app\models\engineer.py                 | Python             |         32 |          0 |         13 |         45 |
| f:\Aero\AEROPS\Backend\app\models\pilot.py                    | Python             |        122 |          0 |         37 |        159 |
| f:\Aero\AEROPS\Backend\app\models\simulation.py               | Python             |         18 |          0 |         10 |         28 |
| f:\Aero\AEROPS\Backend\app\models\training.py                 | Python             |         13 |          0 |          5 |         18 |
| f:\Aero\AEROPS\Backend\app\routes\__init__.py                 | Python             |          0 |          0 |          1 |          1 |
| f:\Aero\AEROPS\Backend\app\routes\access_code.py              | Python             |         37 |          0 |         10 |         47 |
| f:\Aero\AEROPS\Backend\app\routes\add.py                      | Python             |         17 |          0 |          5 |         22 |
| f:\Aero\AEROPS\Backend\app\routes\aircraft.py                 | Python             |        105 |          0 |         24 |        129 |
| f:\Aero\AEROPS\Backend\app\routes\engineers.py                | Python             |        162 |          0 |         28 |        190 |
| f:\Aero\AEROPS\Backend\app\routes\pilots.py                   | Python             |        263 |          0 |         21 |        284 |
| f:\Aero\AEROPS\Backend\app\routes\simulation.py               | Python             |        278 |          0 |         68 |        346 |
| f:\Aero\AEROPS\Backend\app\routes\training.py                 | Python             |        134 |          0 |         26 |        160 |
| f:\Aero\AEROPS\Backend\app\schemas\__init__.py                | Python             |          0 |          0 |          1 |          1 |
| f:\Aero\AEROPS\Backend\app\schemas\access_code.py             | Python             |         15 |          0 |         10 |         25 |
| f:\Aero\AEROPS\Backend\app\schemas\add.py                     | Python             |          8 |          0 |          3 |         11 |
| f:\Aero\AEROPS\Backend\app\schemas\aircraft.py                | Python             |         40 |          0 |         16 |         56 |
| f:\Aero\AEROPS\Backend\app\schemas\engineer.py                | Python             |         31 |          0 |         16 |         47 |
| f:\Aero\AEROPS\Backend\app\schemas\pilot.py                   | Python             |        112 |          0 |         30 |        142 |
| f:\Aero\AEROPS\Backend\app\schemas\simulation.py              | Python             |         57 |          0 |         19 |         76 |
| f:\Aero\AEROPS\Backend\app\schemas\training.py                | Python             |         13 |          0 |          7 |         20 |
| f:\Aero\AEROPS\Backend\app\seed_data.py                       | Python             |        196 |          0 |         10 |        206 |
| f:\Aero\AEROPS\Backend\requirements.txt                       | pip requirements   |          4 |          0 |          1 |          5 |
| f:\Aero\AEROPS\Frontend\README.md                             | Markdown           |          2 |          0 |          2 |          4 |
| f:\Aero\AEROPS\Frontend\bun.lock                              | JSON with Comments |        667 |          0 |        579 |      1,246 |
| f:\Aero\AEROPS\Frontend\components.json                       | JSON               |         20 |          0 |          1 |         21 |
| f:\Aero\AEROPS\Frontend\eslint.config.js                      | JavaScript         |         25 |          0 |          2 |         27 |
| f:\Aero\AEROPS\Frontend\index.html                            | HTML               |         21 |          2 |          4 |         27 |
| f:\Aero\AEROPS\Frontend\package-lock.json                     | JSON               |      8,883 |          0 |          1 |      8,884 |
| f:\Aero\AEROPS\Frontend\package.json                          | JSON               |         96 |          0 |          1 |         97 |
| f:\Aero\AEROPS\Frontend\playwright-fixture.ts                 | TypeScript         |          1 |          2 |          1 |          4 |
| f:\Aero\AEROPS\Frontend\playwright.config.ts                  | TypeScript         |          3 |          6 |          2 |         11 |
| f:\Aero\AEROPS\Frontend\postcss.config.js                     | JavaScript         |          6 |          0 |          1 |          7 |
| f:\Aero\AEROPS\Frontend\public\mock\aircrafts.json            | JSON               |          9 |          0 |          1 |         10 |
| f:\Aero\AEROPS\Frontend\public\mock\engineers.json            | JSON               |         14 |          0 |          1 |         15 |
| f:\Aero\AEROPS\Frontend\public\mock\pilots.json               | JSON               |        190 |          0 |          1 |        191 |
| f:\Aero\AEROPS\Frontend\public\placeholder.svg                | XML                |         40 |          0 |          1 |         41 |
| f:\Aero\AEROPS\Frontend\src\App.css                           | PostCSS            |         37 |          0 |          6 |         43 |
| f:\Aero\AEROPS\Frontend\src\App.tsx                           | TypeScript JSX     |         55 |          0 |          5 |         60 |
| f:\Aero\AEROPS\Frontend\src\components\BackgroundLayout.tsx   | TypeScript JSX     |         24 |          0 |          3 |         27 |
| f:\Aero\AEROPS\Frontend\src\components\HumanBodyModel.tsx     | TypeScript JSX     |         79 |          1 |         16 |         96 |
| f:\Aero\AEROPS\Frontend\src\components\IAFRankInsignia.tsx    | TypeScript JSX     |         52 |          0 |          7 |         59 |
| f:\Aero\AEROPS\Frontend\src\components\NavLink.tsx            | TypeScript JSX     |         24 |          0 |          5 |         29 |
| f:\Aero\AEROPS\Frontend\src\components\PageHeader.tsx         | TypeScript JSX     |         26 |          0 |          4 |         30 |
| f:\Aero\AEROPS\Frontend\src\components\StatusBadge.tsx        | TypeScript JSX     |         50 |          0 |          8 |         58 |
